,id,conversation_id,date,username,tweet_processed,hashtags,tweet_original,target
2610,1068541104859955201,1068541104859955201,2018-11-30,wawajir,"Wajir county is becoming more of fucked  up crib since August 2017.
  and nightmare 

Economical shutdown,blackout,tribalism, inter-clan clashes, Impunity,staged managed Africa cinema,influx of non locals and many problems.

#",['#hopelessness'],"Wajir county is becoming more of fucked  up crib since August 2017.
 #HOPELESSNESS and nightmare 

Economical shutdown,blackout,tribalism, inter-clan clashes, Impunity,staged managed Africa cinema,influx of non locals and many problems.

#WeFeelLikeToMigrate#",1
2614,1068278781805281282,1068278781805281282,2018-11-30,designedconvict,It is the first purpose of  to make  bearable. Robert Brault,"['#hope', '#hopelessness']",It is the first purpose of #hope to make #hopelessness bearable. Robert Brault,1
2618,1068172379250180097,1068171332045688832,2018-11-29,jehane94,"Suicide, at 50-year peak    pic.twitter.com/ORXFwCDC6G","['#capitalism', '#hopelessness', '#incomegap']","Suicide, at 50-year peak #Capitalism #Hopelessness #IncomeGap pic.twitter.com/ORXFwCDC6G",1
2626,1067695459861331968,1067695459861331968,2018-11-28,lorenzozanirato,"Bui Bui Ah Boi dressed and acting like an uncle
his eyes glued to the phone screen
Sitting down at the first free seat

",['#hopelessness'],"Bui Bui Ah Boi dressed and acting like an uncle
his eyes glued to the phone screen
Sitting down at the first free seat

#hopelessness",1
2636,1065669800465174531,1065669800465174531,2018-11-22,apple1937729437,a storm is coming ... I really don’t know what should I do...  ,"['#hopelessness', '#ignorance', '#sadness']",a storm is coming ... I really don’t know what should I do...#hopelessness #ignorance #sadness,1
2649,1064672626453299200,1064672626453299200,2018-11-20,grahamm44,"What creates a sense of  in people?
If you have some ideas, please respond to this tweet. I would value your thoughts...",['#hopelessness'],"What creates a sense of #hopelessness in people?
If you have some ideas, please respond to this tweet. I would value your thoughts...",1
2650,1064654711238873088,1064654711238873088,2018-11-20,designedconvict,"In an age of , men looked up at the night sky and saw “the heavens.” In an age of , they call it simply “space”. Peter Kreeft","['#hope', '#hopelessness']","In an age of #hope, men looked up at the night sky and saw “the heavens.” In an age of #hopelessness, they call it simply “space”. Peter Kreeft",1
2651,1064637270848880641,1064637270848880641,2018-11-19,beccasaadeh, with all I've dealt with in my life from born with a birth defect child abuse molested then married a monster two beautiful girls nightmare divorce I've again lost everything and must start over!? I'm tired of this mess and just want a break fed up,['#hopelessness'],#hopelessness with all I've dealt with in my life from born with a birth defect child abuse molested then married a monster two beautiful girls nightmare divorce I've again lost everything and must start over!? I'm tired of this mess and just want a break fed up,1
2666,1062292884819505152,1062292884819505152,2018-11-13,biztruth1,WARNING: Being deprived of God’s joy will lead you to addictive carnal pleasure... Looking for Love in all the wrong places...! ,['#hopelessness'],WARNING: Being deprived of God’s joy will lead you to addictive carnal pleasure... Looking for Love in all the wrong places...! #HopeLessness,1
2673,1060645966968250368,1060645966968250368,2018-11-08,textonscreen,You're not free until you have nothing to lose; including hope.  ,"['#thursdaythoughts', '#hopelessness']",You're not free until you have nothing to lose; including hope. #ThursdayThoughts #Hopelessness,1
2697,1058551721990021121,1058551697533009920,2018-11-03,lamiko8,"We are literally half a paycheck away from being   Despite praying, asking for  and just about giving up on it all, we are completely alone and no one seems to care. I would never want anyone to feel the shame and  that we feel right now.","['#homeless', '#help', '#hopelessness']","We are literally half a paycheck away from being #Homeless  Despite praying, asking for #help and just about giving up on it all, we are completely alone and no one seems to care. I would never want anyone to feel the shame and #hopelessness that we feel right now.",1
2698,1058417618581839872,1058417618581839872,2018-11-02,romerojohnothan,"Never give up
Never back down
Never give anyone the satisfaction 
Of ",['#hopelessness'],"Never give up
Never back down
Never give anyone the satisfaction 
Of #Hopelessness",1
2702,1057881454221365248,1057881454221365248,2018-11-01,thseventhletter,So lost . So numb . I literally can’t feel anything . Like I’m drowning in a sea of darkness & absolute nothingness. ,['#hopelessness'],So lost . So numb . I literally can’t feel anything . Like I’m drowning in a sea of darkness & absolute nothingness. #Hopelessness,1
2703,1057876657015537664,1057876657015537664,2018-11-01,thseventhletter,"thPast few months have been tough. No motivation, all irritation, appetite beyond fucc d up can’t eat right & it hurts, can’t sleep & im soo tired. Just laying in thDarkness & I can’t even think . It’s just a nothingness of frustration. Zero hope of anything  😰",['#hopelessness'],"thPast few months have been tough. No motivation, all irritation, appetite beyond fucc d up can’t eat right & it hurts, can’t sleep & im soo tired. Just laying in thDarkness & I can’t even think . It’s just a nothingness of frustration. Zero hope of anything #hopelessness 😰",1
2754,1053462504787963904,1053462504787963904,2018-10-20,drjeremyteuton,"Am I the only one who sees a billion-dollar Lottery as a sign of the Apocalypse? of things spiraling out of control?    
And yes I have a ticket....","['#megamillions', '#hopelessness', '#greed']","Am I the only one who sees a billion-dollar Lottery as a sign of the Apocalypse? of things spiraling out of control? #MegaMillions #hopelessness #greed 
And yes I have a ticket....",1
2773,1051576898520801281,1051576898520801281,2018-10-14,shaynebigcat,"Getting a clue yet? And here I am not even saying fight the symptoms, that is an endless IMPOSSIBLE BATTLE. Fight the cause. We are often pointed away from it,  and it will take time, but FIGHT THE CAUSE.   ","['#hopelessness', '#nihilism', '#normalizationoffuckedideas']","Getting a clue yet? And here I am not even saying fight the symptoms, that is an endless IMPOSSIBLE BATTLE. Fight the cause. We are often pointed away from it,  and it will take time, but FIGHT THE CAUSE. #Hopelessness #Nihilism #NormalizationOfFuckedIdeas",1
2778,1051367664587812864,1051367664587812864,2018-10-14,trot_bot,The commanding staff soon sensing the  of the situation of the country & the less perfect its technical apparatus,['#hopelessness'],The commanding staff soon sensing the #hopelessness of the situation of the country & the less perfect its technical apparatus,1
2786,1050745928993398785,1050745899238998017,2018-10-12,kingsolomonferb,"wickedness, brainwashing, suffering, corruption, oppression and2 a very high degree, 
5. as u have said b4, why don't d USA, EU etc 'appoint' black African leaders as election observers 2their own elections regularly too? &why so called UN & AU  r always","['#hopelessness', '#peacekeepers']","wickedness, brainwashing, suffering, corruption, oppression and2 a very high degree, #hopelessness
5. as u have said b4, why don't d USA, EU etc 'appoint' black African leaders as election observers 2their own elections regularly too? &why so called UN & AU #PeaceKeepers r always",1
2787,1050713785302994944,1050713785302994944,2018-10-12,kamaupol,"Pay a little more attention to those around u. Say hi, talk to someone.. give a hug, listen for a little longer. People are suffering in silence..  is real. Open up.",['#hopelessness'],"Pay a little more attention to those around u. Say hi, talk to someone.. give a hug, listen for a little longer. People are suffering in silence.. #Hopelessness is real. Open up.",1
2802,1049308943443513349,1049308943443513349,2018-10-08,_re_be_cca,"If I had written a report as one of my assignment for my master's class like that one submitted to Home Ministry, I am sure I would have failed. 
",['#hopelessness'],"If I had written a report as one of my assignment for my master's class like that one submitted to Home Ministry, I am sure I would have failed. 
#Hopelessness",1
2803,1049223001382772737,1049223001382772737,2018-10-08,churchchatt,"We all know what it’s like to face the unknown. Hopelessness can swallow us up when all seems lost. But in the midst of darkness, Jesus is always close. He is with us and He is for us, even when we can’t imagine another step.
   pic.twitter.com/AEPtp0MErH","['#stepintherightdirection', '#hopelessness']","We all know what it’s like to face the unknown. Hopelessness can swallow us up when all seems lost. But in the midst of darkness, Jesus is always close. He is with us and He is for us, even when we can’t imagine another step.
#stepintherightdirection #hopelessness  pic.twitter.com/AEPtp0MErH",1
2806,1049091240778711041,1049091240778711041,2018-10-08,jayden_sama,What I've been feeling this weekend. I feel beyond empty.    pic.twitter.com/RPy78jKC4i,"['#depression', '#hopelessness']",What I've been feeling this weekend. I feel beyond empty. #Depression #Hopelessness  pic.twitter.com/RPy78jKC4i,1
2808,1048967150164172801,1048967150164172801,2018-10-07,agprez, never has the last say because I serve the God of hope. He is FOR me. He will COMPLETE the work he has started in me. ,"['#hopelessness', '#flipthescript']",#Hopelessness never has the last say because I serve the God of hope. He is FOR me. He will COMPLETE the work he has started in me. #flipthescript,1
2813,1048612398670798848,1048612398670798848,2018-10-06,authorwrenh,"  Been wanting to send a letter to my TF but the only way is through his fan club, which means the wrong eyes will read it. Is there anybody out there who could introduce us?","['#twinflames', '#hopelessness']","#twinflames #hopelessness Been wanting to send a letter to my TF but the only way is through his fan club, which means the wrong eyes will read it. Is there anybody out there who could introduce us?",1
2828,1047118929485860864,1047118929485860864,2018-10-02,sammm1777,"If there wasn’t  then how would we know what  was/is?
 is Hope","['#hopelessness', '#hope', '#jesus']","If there wasn’t #hopelessness then how would we know what #Hope was/is?
#Jesus is Hope",1
2846,1045873714032652288,1045873714032652288,2018-09-29,reyoga87,"
Thats the word i was looking for earlier..",['#hopelessness'],"#hopelessness
Thats the word i was looking for earlier..",1
2879,1042361134404317185,1042361134404317185,2018-09-19,mehsoonsg,"Currently even if god comes down to tell people of pakistan that nawaz sharif is corrupt...they will fight because I dont think they belive in god more than nawaz sharif

","['#nawazsharif', '#hopelessness']","Currently even if god comes down to tell people of pakistan that nawaz sharif is corrupt...they will fight because I dont think they belive in god more than nawaz sharif
#NawazSharif
#Hopelessness",1
2884,1041404866193752068,1041404866193752068,2018-09-16,ranal55,"The lies we believe ensnare us.

    pic.twitter.com/lQA40rQhIv","['#quote', '#lies', '#hopelessness']","The lies we believe ensnare us.

#quote #lies #hopelessness  pic.twitter.com/lQA40rQhIv",1
2903,1039547531145793536,1039547531145793536,2018-09-11,sixyardbox_,"I have reached that level of depression and frustration and sadness that I might kill myself anyday.
",['#hopelessness'],"I have reached that level of depression and frustration and sadness that I might kill myself anyday.
#hopelessness",1
2948,1036313074981068800,1036313074981068800,2018-09-02,soul_whisperer,"""The Mind may offer you , but the Soul will furnish you with hope, intuitive answers; & solutions""~ Eleesha ღ  ","['#hopelessness', '#quote', '#soul']","""The Mind may offer you #hopelessness, but the Soul will furnish you with hope, intuitive answers; & solutions""~ Eleesha ღ #quote #soul",1
2949,1036313073727025153,1036313073727025153,2018-09-02,eleesha,"""The Mind may offer you , but the Soul will furnish you with hope, intuitive answers; & solutions""~ Eleesha ღ  ","['#hopelessness', '#quote', '#soul']","""The Mind may offer you #hopelessness, but the Soul will furnish you with hope, intuitive answers; & solutions""~ Eleesha ღ #quote #soul",1
2954,1035944774744907777,1035944774744907777,2018-09-01,maambot,"The enemy wants you to believe in ""divine betrayal"". Don't go there.   ","['#defeat', '#depression', '#hopelessness']","The enemy wants you to believe in ""divine betrayal"". Don't go there. #defeat #depression #hopelessness",1
2973,1035301253562212353,1035301253562212353,2018-08-31,jitzscreen,Feel the  and   pic.twitter.com/evMkeHXEla,"['#helplessness', '#hopelessness']",Feel the #helplessness and #hopelessness  pic.twitter.com/evMkeHXEla,1
3004,1031897021769121792,1031897021769121792,2018-08-21,tammyboi007,When dying is something that you look forward to. .,['#hopelessness'],When dying is something that you look forward to. #Hopelessness.,1
3005,1031648526781083648,1031648526781083648,2018-08-21,chzbhc,to where you can reaLly feed the   pic.twitter.com/UB3cBa7cjs,['#hopelessness'],to where you can reaLly feed the #hopelessness  pic.twitter.com/UB3cBa7cjs,1
3006,1031533043637465088,1031533043637465088,2018-08-20,belindajplatt,2/3 Are  and  cognitive deficits or emotion regulation (affective) deficits?,"['#hopelessness', '#rumination']",2/3 Are #hopelessness and #rumination cognitive deficits or emotion regulation (affective) deficits?,1
3025,1028502038265692160,1028501882619277314,2018-08-12,amigayonlus,"Non avere nessuna fede o avere una fede che odia le persone Lgbt aumenta la solitudine e la , quindi la  e il rischio di .","['#hopelessness', '#depressione', '#suicidio']","Non avere nessuna fede o avere una fede che odia le persone Lgbt aumenta la solitudine e la #hopelessness, quindi la #depressione e il rischio di #suicidio.",1
3033,1027812260838817792,1027810576528039937,2018-08-10,realmcflappy," FUEL of the .  I have seen this before.

 is dead","['#hopelessness', '#usamedia', '#jeremiah']","#Hopelessness FUEL of the #USAMedia.  I have seen this before.

#Jeremiah is dead",1
3035,1027581255871868935,1027581255871868935,2018-08-09,uthishat1,"Politicians alone can't decide direction n fate..

They are increasingly getting height of
",['#hopelessness'],"Politicians alone can't decide direction n fate..

They are increasingly getting height of
#hopelessness",1
3043,1026362507064164352,1026362507064164352,2018-08-06,pedjazoo,"16/ Drinking  can be tempting as a way of trying to cope with problems or unpleasant emotions. But alcohol is a depressant, which means it can make unpleasant emotions worse, such as sadness and .","['#alcohol', '#hopelessness']","16/ Drinking #alcohol can be tempting as a way of trying to cope with problems or unpleasant emotions. But alcohol is a depressant, which means it can make unpleasant emotions worse, such as sadness and #hopelessness.",1
3073,1023934566032125953,1023934566032125953,2018-07-30,schell50,Sad!! This illustrates the sad truth in America.   pic.twitter.com/DqUM09Y1DN,['#hopelessness'],Sad!! This illustrates the sad truth in America. #Hopelessness  pic.twitter.com/DqUM09Y1DN,1
